id,name,latitude,longitude,departures,arrivals,combined,docks,launch
519,"Wolcott Ave & Fargo Ave",42.016977,-87.677725,663,663,1326,11,2016
270,"Stony Island Ave & 75th St",41.7586696704,-87.586882871,661,661,1322,11,2015
390,"Wentworth Ave & 63rd St",41.78007963264,-87.6297463052,639,639,1278,11,2015
441,"Kedzie Ave & 24th St",41.84819094491,-87.7054137458,617,617,1234,11,2015
637,"Wood St & Chicago Ave (*)",41.895634,-87.672069,601,601,1202,16,2018
573,"State St & 79th St",41.750794,-87.624424,591,591,1182,11,2016
431,"Eberhart Ave & 61st St",41.78414169317,-87.6133078304,576,576,1152,11,2015
580,"Exchange Ave & 79th St",41.751731,-87.552812,571,571,1142,11,2016
547,"Ashland Ave & Pershing Rd",41.823465,-87.665577,562,562,1124,11,2016
659,"Leavitt St & Chicago Ave",41.895501,-87.682017,562,562,1124,15,2018
398,"Rainbow Beach",41.75787144829,-87.54938625,533,533,1066,15,2015
631,"Malcolm X College",41.877618,-87.673895,524,524,1048,19,2018
654,"Racine Ave & Washington Blvd (*)",41.883073,-87.656952,507,507,1014,12,2018
594,"Western Blvd & 48th Pl",41.805661,-87.683392,506,506,1012,11,2016
400,"Cottage Grove Ave & 71st St",41.76571903697,-87.604959713,487,487,974,11,2015
395,"Jeffery Blvd & 76th St",41.75712006802,-87.5758393587,480,480,960,11,2015
430,"MLK Jr Dr & 63rd St",41.78008063659,-87.6159428567,474,474,948,11,2015
407,"State St & Pershing Rd",41.82301523798,-87.6265680185,463,463,926,11,2015
546,"Damen Ave & Pershing Rd",41.823192,-87.676597,449,449,898,11,2016
396,"Yates Blvd & 75th St",41.758768,-87.56644,446,446,892,11,2015
639,"Lakefront Trail & Wilson Ave",41.965845,-87.645361,442,442,884,15,2018
628,"Walsh Park",41.91461,-87.667968,423,423,846,23,2018
585,"Cottage Grove Ave & 83rd St",41.744053,-87.604786,402,402,804,11,2016
524,"Austin Blvd & Chicago Ave",41.894887,-87.774704,401,401,802,7,2016
528,"Pulaski Rd & Lake St",41.885409,-87.726491,393,393,786,11,2016
551,"Hoyne Ave & 47th St",41.808227,-87.67718,392,392,784,11,2016
392,"Perry Ave & 69th St",41.76929308995,-87.6281959291,368,368,736,11,2015
544,"Austin Blvd & Madison St",41.880281,-87.774453,353,353,706,11,2016
534,"Karlov Ave & Madison St",41.88085,-87.727907,345,345,690,11,2016
391,"Halsted St & 69th St",41.76906172032,-87.6446135779,338,338,676,11,2015
575,"Cottage Grove Ave & 78th St",41.753174,-87.605026,323,323,646,11,2016
386,"Halsted St & 56th St",41.79292964599,-87.6449900565,312,312,624,11,2015
